feature,value,0,1,2,3,4
attn_2_0_outputs,5,1.9157002,0.09439067,0.008902552,0.79484004,-2.337385
attn_2_0_outputs,6,-6.4979544,2.2887573,1.6786234,3.8448799,0.26993498
attn_2_0_outputs,7,3.7010372,-1.9089924,-0.03423205,-1.8254743,-0.32327047
attn_2_1_outputs,0,-4.751105,2.0555675,1.0144886,1.4003003,0.7289252
attn_2_1_outputs,1,3.2866783,-5.9742026,0.6199294,1.8572605,0.5362052
attn_2_1_outputs,2,2.3003442,0.7342812,-5.1840825,2.655952,-0.04741658
attn_2_1_outputs,3,2.4692528,1.1321982,2.1880856,-5.062259,2.2810073
attn_2_1_outputs,4,2.6630588,2.092409,0.47376314,1.7058238,-4.2883205
attn_2_1_outputs,</s>,-2.2475061,0.93271005,0.89442945,1.1615155,-0.9962636
attn_2_1_outputs,<pad>,-0.39918044,-0.3371602,-0.10299469,0.16856192,-0.22554095
attn_2_1_outputs,<s>,-1.9132065,1.5732169,0.8382978,-0.2858863,0.17167991
attn_2_2_outputs,0,1.5959517,-1.1127559,-0.49158275,-0.5892932,-0.54538184
attn_2_2_outputs,1,-0.6082745,2.1960828,-1.3931644,-1.0089221,-0.25095716
attn_2_2_outputs,2,-0.3131288,-1.1005368,1.339195,-0.637155,0.39449197
attn_2_2_outputs,3,-0.39187983,-1.1472309,-0.91697645,1.0582274,-0.5071634
attn_2_2_outputs,4,-0.80013907,-0.7111991,-0.113450125,-0.12999327,1.955291
attn_2_2_outputs,</s>,-0.5039166,0.30039966,-0.44467086,-0.3387876,0.1815467
attn_2_2_outputs,<pad>,0.047372997,-0.09512789,-0.24802285,0.35050213,-0.07122258
attn_2_2_outputs,<s>,1.1310495,-1.0633172,0.29064688,0.31947926,-1.9319451
attn_2_3_outputs,0,0.15297157,-0.22136676,0.14106101,1.2547302,0.18109706
attn_2_3_outputs,1,1.83491,-2.651369,2.0201788,-2.7462292,0.85853344
attn_2_3_outputs,2,-0.63449156,-0.21693796,-1.9202485,1.2033767,0.87868476
attn_2_3_outputs,3,-0.57854474,-0.11637288,1.1469998,0.02708108,-0.99641025
attn_2_3_outputs,4,-0.021230897,-0.46139354,-0.0688128,-0.52070856,0.09784726
attn_2_3_outputs,5,0.157801,-0.06696668,0.16356127,-0.22405934,-0.42274317
attn_2_3_outputs,6,-0.06383788,-0.22575532,-0.21029347,-0.021844324,-0.16684255
attn_2_3_outputs,7,0.35674974,-0.44514796,-0.18471448,0.081297524,0.24650386
mlp_0_0_outputs,0,-1.4156148,0.018766237,-1.8479079,1.3577068,0.5023044
mlp_0_0_outputs,1,0.008908122,-0.0019314539,-0.15105988,-0.18081202,-0.18010156
mlp_0_0_outputs,2,0.73211735,0.53348786,1.0379341,-0.99407184,0.4660647
mlp_0_0_outputs,3,0.6995348,0.3762789,0.5284156,0.07698931,0.49792528
mlp_0_0_outputs,4,-0.89277726,-0.14810406,0.62191117,0.13674372,0.35252488
mlp_0_0_outputs,5,-2.0461984,1.810486,1.1711698,-1.3526809,0.8967598
mlp_0_0_outputs,6,2.1123242,1.3071738,-1.7123052,-0.30500397,-2.6740706
mlp_0_0_outputs,7,1.6911174,-1.4298031,-0.7911751,-0.41899818,1.3920461
mlp_0_1_outputs,0,0.5859121,0.8240905,1.341873,0.47654623,-1.5723654
mlp_0_1_outputs,1,1.272147,-0.10217646,-0.80580693,0.17710951,0.11648828
