feature,value,0,1,2,3,4
attn_2_0_outputs,</s>,-1.1587802,-1.4219146,-0.1427677,0.43746802,1.6280025
attn_2_0_outputs,<pad>,0.40040308,-0.7255481,-0.17841204,-0.697172,0.07716934
attn_2_0_outputs,<s>,-1.1453148,-0.75830734,-0.005897508,0.8231496,1.3954885
attn_2_1_outputs,0,4.0535955,3.5806677,0.5907975,-4.0694637,-6.0196342
attn_2_1_outputs,1,0.12768616,3.1768007,-1.2887915,0.21479757,-0.8483111
attn_2_1_outputs,2,-2.0041184,-1.8461977,-0.04264234,0.81484216,2.7021322
attn_2_1_outputs,3,-1.2858589,-0.861424,0.3178099,1.5846136,0.892588
attn_2_1_outputs,4,-6.2278085,-5.1255217,-1.2915521,1.3375355,7.687292
attn_2_1_outputs,</s>,-0.639022,-0.88718235,-0.20150009,0.20758975,0.76800966
attn_2_1_outputs,<pad>,-0.6055846,-0.42234033,0.02367041,0.19508165,-0.1252881
attn_2_1_outputs,<s>,-0.842758,-0.810212,1.7419441,4.4223886,-6.737298
attn_2_2_outputs,0,-0.2545113,-0.5485911,-0.2105267,0.5916397,0.15632208
attn_2_2_outputs,1,-1.090749,1.9291154,0.098441906,-0.17009903,-1.2965181
attn_2_2_outputs,2,-0.84965175,-1.0219631,-0.31630436,0.8876058,0.8076628
attn_2_2_outputs,3,-2.2577434,-1.606367,-0.38179034,0.81740755,1.4791843
attn_2_2_outputs,4,-1.545701,-1.5311117,-0.6608269,0.39653507,3.188987
attn_2_2_outputs,</s>,-0.9838408,-1.5085169,-0.5284993,-0.6232584,2.1396194
attn_2_2_outputs,<pad>,0.015407639,-0.23714098,0.041441463,0.22884154,-0.104325235
attn_2_2_outputs,<s>,-0.15450726,0.12819171,-0.10818347,-0.8451654,0.37124678
attn_2_3_outputs,0,1.447714,-0.6547976,-0.25752008,-0.45727503,-1.2662339
attn_2_3_outputs,1,-0.15177448,1.2482107,0.46936205,-0.5928505,-1.087674
